no,id_event,nis,name,id_role,jenis_kelamin,jenis_latihan,peserta,tipe_ukt,id_ranting,rayon,tingkatan
1,3,4487,Casar Wigfield,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Putih,2,Sanghan,Putih
2,4,577,Tomasine Reoch,siswa,Laki laki,Remaja,Remaja - Laki laki,UKCW,2,Kamenica,UKCW
3,1,01,Leland Krzysztof,siswa,Laki laki,Privat,Privat - Laki laki,UKT Jambon,2,Losevo,Hitam
4,2,30353,Ashla Fyfield,siswa,Perempuan,Privat,Privat - Perempuan,UKT Hijau,2,Kostanay,Hijau
5,3,2,Harley Wattisham,siswa,Perempuan,Privat,Privat - Perempuan,UKT Putih,2,Qiaochong,Putih
6,4,552,Charla Clelle,siswa,Perempuan,Privat,Privat - Perempuan,UKCW,2,Dagu,UKCW
7,4,014,Dorine Mercey,siswa,Laki laki,Remaja,Remaja - Laki laki,UKCW,2,Marsaxlokk,UKCW
8,1,25,Donaugh Olorenshaw,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Jambon,2,Montasik,Hitam
9,4,596,Becky Fumagall,siswa,Laki laki,Remaja,Remaja - Laki laki,UKCW,2,Baga Borihe,UKCW
10,3,354,Findlay Winfield,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Putih,2,Hualongyan,Putih
11,3,0638,Kimmie Deal,siswa,Perempuan,Privat,Privat - Perempuan,UKT Putih,2,Gala,Putih
12,3,5,Lucienne Paradine,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Putih,2,Boca Suno,Putih
13,4,3,Nara MacParlan,siswa,Perempuan,Remaja,Remaja - Perempuan,UKCW,2,Ngluweng Dua,UKCW
14,1,930,Des Joskowicz,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Jambon,2,Thomassique,Hitam
15,3,05,Bobinette Siberry,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Putih,2,Khon Buri,Putih
16,1,6808,Vivienne Gaye,siswa,Perempuan,Remaja,Remaja - Perempuan,UKT Jambon,2,Salt Lake City,Hitam
17,2,62865,Basilio Walduck,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Hijau,2,Pondokwungu,Hijau
18,4,778,Becki Lighten,siswa,Laki laki,Remaja,Remaja - Laki laki,UKCW,2,Toulouse,UKCW
19,1,79571,Nev Garnsworth,siswa,Laki laki,Privat,Privat - Laki laki,UKT Jambon,2,Paldit,Hitam
20,1,5054,Wallie Cattemull,siswa,Perempuan,Privat,Privat - Perempuan,UKT Jambon,2,Danxia,Hitam
21,2,45961,Vivie Boddington,siswa,Perempuan,Remaja,Remaja - Perempuan,UKT Hijau,2,Bayaguana,Hijau
22,2,2694,Antonie Crosoer,siswa,Laki laki,Privat,Privat - Laki laki,UKT Hijau,2,Velikiye Borki,Hijau
23,4,532,Waring Danson,siswa,Laki laki,Privat,Privat - Laki laki,UKCW,2,Lepanto,UKCW
24,2,49283,Doria Wormleighton,siswa,Perempuan,Privat,Privat - Perempuan,UKT Hijau,2,Lyon,Hijau
25,2,0782,Chan Chennells,siswa,Perempuan,Remaja,Remaja - Perempuan,UKT Hijau,2,Bandarbeyla,Hijau
